
CASH3;MÉLIUZ S.A.;7,49;9,02;-0,45;-;0,0000;-16,46;0,82
CASN4;CASAN;8,37;1,93;0,06;0,29;0,0383;143,35;4,33
CATA4;CIA INDUSTRIAL CATAGUASES;0,00;1.257,08;144,89;-;0,0000;0,00;0,00
CBAV3;Companhia Brasileira de Alumínio;4,20;8,03;-2,11;10,67;0,2887;-1,96;0,51
CBEE3;AMPLA ENERGIA E SERVICOS;15,00;22,35;-0,77;-;0,3581;-19,58;0,67
CEAB3;CEA MODAS;8,35;9,22;0,15;-;0,0000;55,68;0,91
CCRO3;CCR;13,08;6,28;0,46;1,48;0,3803;28,22;2,08
CEBR6;CEB;16,60;14,50;2,70;17,60;3,8960;6,13;1,14
CEDO4;CEDRO TÊXTIL;23,00;18,52;6,40;-;0,0000;3,59;1,24
CEBR3;CEB;15,49;14,50;2,70;17,12;3,5418;5,73;1,07
CEBR5;CEB;15,20;14,50;2,70;17,45;3,5418;5,62;1,05
CEDO3;CEDRO TÊXTIL;22,77;18,52;6,40;-;0,0000;3,56;1,23
CEED4;CEEE-D;30,01;-43,45;-5,76;-;;-5,21;-0,69
CEEB5;COELBA;41,56;22,61;5,43;3,92;6,4457;7,66;1,84
CEEB3;COELBA;40,51;22,61;5,43;4,02;6,4457;7,47;1,79
CEEB6;COELBA;60,68;22,61;5,43;2,95;7,0902;11,18;2,68
CEED3;CEEE-D;25,00;-43,45;-5,76;-;;-4,34;-0,58
CEGR3;CEG;88,32;5,40;1,48;1,16;0,4495;59,53;16,36
CGAS3;COMGAS;127,00;3,35;2,65;2,52;13,8863;47,84;37,88
CGAS5;COMGAS;127,53;3,35;2,65;2,76;15,2749;48,03;38,03
CGRA4;GRAZZIOTIN;26,29;43,61;4,27;7,85;2,7437;6,15;0,60
CIEL3;CIELO;3,87;4,41;0,71;7,92;0,1627;5,42;0,88
CGRA3;GRAZZIOTIN;24,99;43,61;4,27;8,26;2,7437;5,85;0,57
CMIG3;CEMIG;16,82;11,10;3,04;6,58;1,1169;5,53;1,51
CMIG4;CEMIG;13,43;11,10;3,04;8,22;1,1169;4,43;1,21
